title,price,category,images,short desc,attribute 1,value 1,attribute 2,value 2,attribute 3,value 3,attribute 4,value 4,attribute 5,value 5,attribute 6,value 6,attribute 7,value 7,attribute 8,value 8,attribute 9,value 9,attribute 10,value 10,attribute 11,value 11,attribute 12,value 12,attribute 13,value 13,attribute 14,value 14,attribute 15,value 15,attribute 16,value 16,attribute 17,value 17,attribute 18,value 18,attribute 19,value 19,attribute 20,value 20,attribute 21,value 21,attribute 22,value 22,attribute 23,value 23,attribute 24,value 24,attribute 25,value 25,attribute 26,value 26
مشعل گازی گرم ایران مدل GNG-90/60M,,مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/585/1.jpg,<ol><li>حداکثر قدرت گرمایش: 6.200.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>نحوه احتراق: مادولیتینگ</li><li>قدرت موتور: 18.500 W</li><li>قطر لوله شعله پوش: 41.5 سانتی متر</li></ol>,مدل دستگاه,GNG-90/60M,حداقل قدرت گرمایش,"1,500,000",حداکثر قدرت گرمایش Kcal/hr (دمپر هوا),"6,200,000",مشخصات برقی الکترو موتور,مادولیتینگ,سروو موتور ,اتوماتیک,حد اقل فشار گاز m.Bar," 18,500 W",قطر خط گاز in,دارد,بدنه مشعل ,-,گارانتی,1 سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پمپهای شناور لوارا سری SCUBA و GS,,پمپ آب و آبرسانی,"https://damava.ir/wp-content/uploads/2022/garmayesh/586/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/4.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/5.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/6.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/7.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/8.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/9.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/586/10.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پمپ آبرسانی طبقاتی گراندفوس سری CR20,,پمپ آب و آبرسانی,"https://damava.ir/wp-content/uploads/2022/garmayesh/588/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/588/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/588/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/588/4.jpg",,گارانتی,یک سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی گرم ایران مدل GNG-90/60,,مشعل > مشعل گرم ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/589/1.jpg,<ol><li>حداکثر قدرت گرمایش: 6.200.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>نحوه احتراق: سه مرحله ای</li><li>قدرت موتور: 18.500 W</li><li>برق مصرفی: سه فاز</li></ol>,مدل دستگاه,5/GNG-90,حداقل قدرت گرمایش,"1,500,000",حداکثر قدرت گرمایش Kcal/hr (دمپر هوا),"6,200,000",مشخصات برقی الکترو موتور,سه مرحله ای,سروو موتور ,اتوماتیک,نوع رله,"3Ф ~ 18,500 W ",حد اقل فشار گاز m.Bar,دارد,قطر خط گاز in,TMG/LFL,ابعاد دستگاهcm (طول کلی مشعل),50,ابعاد دستگاهcm (لوازم همراه با مشعل),3,ابعاد دستگاهcm,168,گارانتی,1 سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی گرم ایران مدل GNG-90/65M,,مشعل > مشعل گرم ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/590/1.jpg,<ol><li>حداکثر قدرت گرمایش: 6.700.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>نحوه احتراق: مادولیتینگ</li><li>قدرت موتور: 18500 W</li><li>نوع دمپر هوا: اتوماتیک</li></ol>,مدل دستگاه,GNG-90/65M,حداقل قدرت گرمایش,"1,500,000",حداکثر قدرت گرمایش Kcal/hr (دمپر هوا),"6,700,000",مشخصات برقی الکترو موتور,مادولیتینگ,سروو موتور ,اتوماتیک,حد اقل فشار گاز m.Bar," 18,500 W",قطر خط گاز in,دارد,بدنه مشعل ,-,گارانتی,1 سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هیتر برقی فن دار انرژی مدل EH0045,,هیتر  > هیتر و بخاری کارگاهی انرژی,"https://damava.ir/wp-content/uploads/2022/garmayesh/592/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/592/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/592/3.jpg",<ol><li>برق مصرفی: تکفاز 220 ولت</li><li> فضای قابل گرمایش: تا 70 مترمکعب</li><li> مجهز به فن سانتریفیوژ با تنظیم دور متفاوت (کند و تند)</li><li> دارای سه المنت حرارتی با راندمان بالا</li><li> مجهز به ترموستات محیطی با قابلیت تنظیم تا 40 درجه سانتیگراد</li></ol>,مدل دستگاه,EH0045,نوع سوخت,برقی,حداکثر توان حرارتی (Kcal/hr),3870,توان حرارتی (KW),1.5-3-4.5,هوادهی (m3/hr),500,فضای تحت پوشش (m3),تا 70,جریان برق مصرفی (A),20.5,برق مصرفی ,تکفاز 220 ولت,ارتفاع (cm),32,عرض (cm),56,عمق (cm),32,وزن (Kg),13,گارانتی,1 سال گارانتی (از زمان نصب) شرکت انرژی,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی گرم ایران مدل GNG-90/70M,,مشعل > مشعل گرم ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/594/1.jpg,<ol><li>حداکثر قدرت گرمایش: 7.100.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>نحوه احتراق: مادولیتینگ</li><li>قدرت موتور: 22000 W</li><li>نوع دمپر هوا: اتوماتیک</li></ol>,مدل دستگاه,GNG-90/70M,حداقل قدرت گرمایش,"1,700,000",حداکثر قدرت گرمایش Kcal/hr (دمپر هوا),"7,100,000",مشخصات برقی الکترو موتور,مادولیتینگ,سروو موتور ,اتوماتیک,حد اقل فشار گاز m.Bar,"22,000 W",قطر خط گاز in,دارد,بدنه مشعل ,-,گارانتی,1 سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پمپ آبرسانی طبقاتي پنتاکس سری U3,,پمپ آب و آبرسانی,"https://damava.ir/wp-content/uploads/2022/garmayesh/596/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/596/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/596/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/596/4.jpg",,گارانتی,یک سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پمپ آبرسانی طبقاتي پنتاکس سری U9,,پمپ آب و آبرسانی,"https://damava.ir/wp-content/uploads/2022/garmayesh/597/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/597/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/597/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/597/4.jpg",,گارانتی,یک سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی گرم ایران مدل GNG-90/75M,,مشعل > مشعل گرم ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/598/1.jpg,<ol><li>حداکثر قدرت گرمایش: 7.800.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>نحوه احتراق: مادولیتینگ</li><li>قدرت موتور: 22000 W</li><li>نوع دمپر هوا: اتوماتیک</li></ol>,مدل دستگاه,GNG-90/75M,حداقل قدرت گرمایش,"1,800,000",حداکثر قدرت گرمایش Kcal/hr (دمپر هوا),"7,800,000",مشخصات برقی الکترو موتور,مادولیتینگ,سروو موتور ,اتوماتیک,حد اقل فشار گاز m.Bar,"22,000 W",قطر خط گاز in,دارد,بدنه مشعل ,-,گارانتی,1 سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی گرم ایران مدل GNG-90/85M,,مشعل > مشعل گرم ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/600/1.jpg,<ol><li>حداکثر قدرت گرمایش: 8.800.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>نحوه احتراق: مادولیتینگ</li><li>قدرت موتور: 26000 W</li><li>نوع دمپر هوا: اتوماتیک</li></ol>,مدل دستگاه,GNG-90/85M,حداقل قدرت گرمایش,"2,000,000",حداکثر قدرت گرمایش Kcal/hr (دمپر هوا),"8,800,000",مشخصات برقی الکترو موتور,مادولیتینگ,سروو موتور,اتوماتیک,حد اقل فشار گاز m.Bar,"26,000 W",قطر خط گاز in,دارد,بدنه مشعل ,-,گارانتی,1 سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پمپ آبرسانی طبقاتی عمودی ویلو,,پمپ آب و آبرسانی,"https://damava.ir/wp-content/uploads/2022/garmayesh/601/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/601/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/601/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/601/4.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/601/5.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
هیتر برقی سه فاز انرژی مدل EH0150,,هیتر  > هیتر و بخاری کارگاهی انرژی,"https://damava.ir/wp-content/uploads/2022/garmayesh/602/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/602/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/602/3.jpg",<ol><li>قابلیت تنظیم در سه ظرفیت حرارتی(5-10-15) کیلووات</li><li> برق مصرفی: سه فاز 400 ولت</li><li> فضای قابل گرمایش: تا 280 مترمکعب</li><li> بدنه مقاوم با عایق اپوکسی در مقابل زنگ زدگی در طول زمان</li><li> دارای قابليت تنظيم دما و ترموستات ايمني</li></ol>,مدل دستگاه,EH0150,نوع سوخت,برقی,حداکثر توان حرارتی (Kcal/hr),12900,توان حرارتی (KW),5/10/2015,هوادهی (m3/hr),1300/765,فضای تحت پوشش (m3),تا 280,جریان برق مصرفی (A),21.7,برق مصرفی ,سه فاز 400 ولت,ارتفاع (cm),53,عرض (cm),42,عمق (cm),35,وزن (Kg),20,گارانتی,1 سال گارانتی (از زمان نصب) شرکت انرژی,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل گازی گرم ایران مدل GNG-90/100M,,مشعل > مشعل گرم ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/603/1.jpg,<ol><li>حداکثر قدرت گرمایش: 10.300.000 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>نحوه احتراق: مادولیتینگ</li><li>قدرت موتور: 28000 W</li><li>نوع دمپر هوا: اتوماتیک</li></ol>,مدل دستگاه,GNG-90/100M,حداقل قدرت گرمایش,"2,300,000",حداکثر قدرت گرمایش Kcal/hr (دمپر هوا),"10,300,000",مشخصات برقی الکترو موتور,مادولیتینگ,سروو موتور ,اتوماتیک,حد اقل فشار گاز m.Bar,"28,000 W",قطر خط گاز in,دارد,بدنه مشعل ,-,گارانتی,1 سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
دیگ چدنی لوله و ماشین سازی ایران(MI3) مدلS90-7,,دیگ شوفاژ چدنی > دیگ چدنی MI3 شرکت لوله و ماشین سازی ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/604/1.jpg,<ol><li>ابعاد دیگ : 828*400*848 mm</li><li> تعداد پره: 7</li><li> فشار کاری : 4 bar</li><li> نوع سوخت : گاز طبیعی - گازوییل</li><li>قدرت گرمادهی:70000kcal/hr</li></ol>,مدل دستگاه, S90-7,تعداد پره,7,ظرفیت ورودی (kcal/hr),"77,700",ظرفیت ورودی(KW),90.4,ظرفیت خروجی (kcal/hr),"70,000",ظرفیت خروجی(KW),81.4,حجم آب گیری دیگ (lit),26,حجم محفظه احتراق (lit),60.45,افت فشار آب( Δt=10˚ (m bar,15,افت فشار آب( Δt=20˚ (m bar,3.3,افت فشار در محفظه احتراق (m bar),0.2,ابعاد دیگ (mm)  طول ,828,ابعاد دیگ (mm)  عرض ,400,ابعاد دیگ (mm)  ارتفاع ,848,وزن دیگ (kg),275,حداکثر دمای کاری مجاز (Cº),-,حداکثر فشار کاری مجاز (bar),4,قطر دهانه مشعلگیر(mm),105,قطر دهانه دودکش دیگ (mm),180,نوع سوخت مصرفی,گاز طبیعی - گازوییل,کشور سازنده,ایران,گارانتی,5 سال گارانتی,,,,,,,,
پمپ آب خانگی پنتاکس مدل CMT,,پمپ آب و آبرسانی > پمپ آب پنتاکس,"https://damava.ir/wp-content/uploads/2022/garmayesh/605/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/605/2.jpg",<ol><li>ساخت کشور ایتالیا</li><li>طراحی هیدرولیکی</li><li>مصرف برق پایین</li></ol>,گارانتی,یک سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
پمپ آب خانگی پنتاکس مدل CM,,پمپ آب و آبرسانی > پمپ آب پنتاکس,"https://damava.ir/wp-content/uploads/2022/garmayesh/606/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/606/2.jpg",,گارانتی,یک سال گارانتی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل دوگانه سوز پارس مشعل PM6-KHG-513,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/607/1.jpg,<ol><li>حداکثر قدرت گرمایش: 2.580.000Kcal/hr</li><li>سوخت مصرفی: گاز و مازوت</li><li>نحوه احتراق: دو مرحله ای</li><li>قدرت موتور: 7.500W</li><li>قدرت موتور پمپ: 750W</li></ol>,مدل دستگاه,PM5-KHG-513,قدرت گرمایش KW,"2,400-3,000",قدرت گرمایش Kcal/hr,"2,064,000-2,580,000",مصرف سوخت ,گاز - مازوت,مازوت kg/hr,217-271,گاز طبیعی Nm3/h,217-271,نحوه احتراق,دو مرحله ای,دمپر هوا,اتوماتیک,جریان الکتریکی,380-3-50,قدرت موتور KW,7.5,قدرت موتور پمپ KW,0.75,پیش گرم کننده مازوت KW,9,نوع رله,برند هانیول یا زیمنس,قطر شعله پوش mm,305,فشار پمپ گاز mbar,138,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,
مشعل دوگانه سوز پارس مشعل PM6-KHG-413,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/608/1.jpg,<ol><li>حداکثر قدرت گرمایش: 2.064.000Kcal/hr</li><li>سوخت مصرفی: گاز و مازوت</li><li>نحوه احتراق: دو مرحله ای</li><li>قدرت موتور: 5.500W</li><li>قدرت موتور پمپ: 750W</li></ol>,مدل دستگاه,PM5-KHG-413,قدرت گرمایش,"1,700-2,400",نوع سوخت,"1,462,000-2,064,000",مصرف سوخت ,گاز - مازوت,مازوت kg/hr,153-217,گاز طبیعی Nm3/h,153-217,نحوه احتراق,دو مرحله ای,دمپر هوا,اتوماتیک,جریان الکتریکی,380-3-50,قدرت موتور KW,5.5,قدرت موتور پمپ KW,0.75,پیش گرم کننده مازوت KW,7.5,نوع رله,برند هانیول یا زیمنس,قطر شعله پوش mm,305,فشار پمپ گاز mbar,138,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,
مشعل گازی پارس مشعل مدل PM1-PGO-311,,مشعل > پارس مشعل,"https://damava.ir/wp-content/uploads/2022/garmayesh/609/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/609/2.jpg",<ol><li>حداکثر قدرت گرمایش: 76.500 Kcal/hr</li><li>سوخت مصرفی: گاز طبیعی</li><li>مصرف گاز: 8-2.9 Nm³/hr</li><li>نحوه احتراق: یک مرحله ای</li><li>قدرت موتور: 110 W</li></ol>,مدل دستگاه,PM1-PGO-311,قدرت گرمایش (KW),32-80,دمپر هوا,"27,500-76,500",جریان الکتریکی,یک مرحله,قدرت موتور K.w,دستی,نوع رله,220-1-50,قطر شعله پوش m.m,0.11,حداقل فشار گاز m.Bar,ایرانی,قطرخط گاز in,150,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل دوگانه سوز پارس مشعل مدل 113 PM-5 KHG,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/610/1.jpg,<ol><li>حداکثر قدرت گرمایش: 1032000 Kcal/hr</li><li>سوخت مصرفی: گاز - گازوئیل</li><li>نحوه احتراق: دو مرحله ای</li><li>قدرت موتور: 15 kw</li><li>قدرت پمپ : 0.25 kw</li></ol>,مدل دستگاه,PM-5 KHG 113,قدرت گرمایش KW,"300-1,200",قدرت گرمایش Kcal/hr,"258,000-1,032,000",مصرف سوخت ,گاز - مازوت,مازوت kg/hr,27-108,گاز طبیعی Nm3/h,27-108,نحوه احتراق,دو مرحله ای,دمپر هوا,اتوماتیک,جریان الکتریکی,380-3-50,قدرت موتور KW,2.2,قدرت پمپ KW,0.25,نوع رله,سوئیسی,قطر شعله پوش mm,325,فشار پمپ گاز mbar,138,قطرخط گاز Inch,-,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,
مشعل دوگانه سوز پارس مشعل مدل 113 PM-4 KLG,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/611/1.jpg,<ol><li>حداکثر قدرت گرمایش: 466.900 Kcal/hr</li><li>سوخت مصرفی: گاز - گازوئیل</li><li>نحوه احتراق: تک مرحله ای</li><li>قدرت موتور: 0.75 kw</li><li>قدرت پمپ : 0.18 kw</li></ol>,مدل دستگاه,PM-4 KLG 113,قدرت گرمایش KW,148-543,قدرت گرمایش Kcal/hr,"127,000-466,900",مصرف سوخت ,گاز - گازوئیل,گازوئیل kg/hr,13-46,گاز طبیعی Nm3/h,13-49,نحوه احتراق,دو مرحله ای,دمپر هوا,اتوماتیک,جریان الکتریکی,380-3-50,قدرت موتور KW,0.75,قدرت پمپ KW,0.18,نوع رله,سوئیسی,قطر شعله پوش mm,200,فشار پمپ گاز mbar,18.5,قطرخط گاز Inch,-,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM9-PHM-418,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/612/1.jpg,<ol><li>حداکثر قدرت گرمایش: 11.700.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: تدریجی</li><li>قدرت موتور: 45000 W</li><li>قدرت موتور پمپ: 2200 W</li></ol>,مدل دستگاه,PM9-PHM-418,قدرت گرمایش (KW),"13,600",مصرف سوخت kg/hr,"11,700,000",نحوه احتراق,مازوت,دمپر هوا,"1,230",جریان الکتریکی,تدریجی,قدرت موتور KW,اتوماتیک,قدرت موتور پمپ KW,380-3-50,پیش گرم کننده مازوت KW,45,نوع رله,2.2,قطر شعله پوش mm,54,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM9-PHM-318,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/613/1.jpg,<ol><li>حداکثر قدرت گرمایش: 9.980.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: تدریجی</li><li>قدرت موتور: 37000 W</li><li>قدرت موتور پمپ: 2200 W</li></ol>,مدل دستگاه,PM9-PHM-318,قدرت گرمایش (KW),"11,600",مصرف سوخت kg/hr,"9,980,000",نحوه احتراق,مازوت,دمپر هوا,"1,050",جریان الکتریکی,تدریجی,قدرت موتور KW,اتوماتیک,قدرت موتور پمپ KW,380-3-50,پیش گرم کننده مازوت KW,37,نوع رله,2.2,قطر شعله پوش mm,54,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM8-PHM-518,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/614/1.jpg,<ol><li>حداکثر قدرت گرمایش: 8.174.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: تدریجی</li><li>قدرت موتور: 37000 W</li><li>قدرت موتور پمپ: 2200 W</li></ol>,مدل دستگاه,PM8-PHM-518,قدرت گرمایش (KW),"9,500",مصرف سوخت kg/hr,"8,174,000",نحوه احتراق,مازوت,دمپر هوا,860,جریان الکتریکی,تدریجی,قدرت موتور KW,اتوماتیک,قدرت موتور پمپ KW,380-3-50,پیش گرم کننده مازوت KW,37,نوع رله,2.2,قطر شعله پوش mm,36,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM8-PHM-418,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/615/1.jpg,<ol><li>حداکثر قدرت گرمایش: 6.450.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: تدریجی</li><li>قدرت موتور: 18500 W</li><li>قدرت موتور پمپ: 2200 W</li></ol>,مدل دستگاه,PM8-PHM-418,قدرت گرمایش (KW),"7,500",مصرف سوخت kg/hr,"6,450,000",نحوه احتراق,مازوت,دمپر هوا,679,جریان الکتریکی,تدریجی,قدرت موتور KW,اتوماتیک,قدرت موتور پمپ KW,380-3-50,پیش گرم کننده مازوت KW,18.5,نوع رله,2.2,قطر شعله پوش mm,36,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM7-PHM-513S,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/616/1.jpg,<ol><li>حداکثر قدرت گرمایش: 4.902.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: تدریجی</li><li>قدرت موتور: 15000 W</li><li>قدرت موتور پمپ: 1100 W</li></ol>,مدل دستگاه,PM6-PHM-513S,قدرت گرمایش (KW),"5,697",مصرف سوخت kg/hr,"4,902,000",نحوه احتراق,مازوت,دمپر هوا,516,جریان الکتریکی,تدریجی,قدرت موتور KW,اتوماتیک,قدرت موتور پمپ KW,380-3-50,پیش گرم کننده مازوت KW,15,نوع رله,1.1,قطر شعله پوش mm,36,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM7-PHM-518,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/617/1.jpg,<ol><li>حداکثر قدرت گرمایش: 3.870.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: تدریجی</li><li>قدرت موتور: 7500 W</li><li>قدرت موتور پمپ: 1100 W</li></ol>,مدل دستگاه,PM7-PHM-518,قدرت گرمایش (KW),"2,500-4,500",مصرف سوخت kg/hr,"2,150,000-3,870,000",نحوه احتراق,مازوت,دمپر هوا,226-407,جریان الکتریکی,تدریجی,قدرت موتور KW,اتوماتیک,قدرت موتور پمپ KW,380-3-50,پیش گرم کننده مازوت KW,7.5,نوع رله,1.1,قطر شعله پوش mm,18,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM6-PHT-318,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/618/1.jpg,<ol><li>حداکثر قدرت گرمایش: 1.591.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: دو مرحله ای</li><li>قدرت موتور: 4000 W</li><li>پیش گرم کننده مازوت: 6000 W</li></ol>,مدل دستگاه,PM6-PHT-318,قدرت گرمایش (KW),"970-1,849",مصرف سوخت kg/hr,"834,000-1,591,000",نحوه احتراق,مازوت,دمپر هوا,87-167,جریان الکتریکی,دو مرحله ای,قدرت موتور KW,اتوماتیک,پیش گرم کننده مازوت KW,380-3-50,نوع رله,4,قطر شعله پوش mm,6,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM6-PHT-518,10150000,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/619/1.jpg,<ol><li>حداکثر قدرت گرمایش: 2.580.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: دو مرحله ای</li><li>قدرت موتور: 7500 W</li><li>پیش گرم کننده مازوت: 9000 W</li></ol>,مدل دستگاه,PM6-PHT-518,قدرت گرمایش (KW),"1,849-3,000",مصرف سوخت kg/hr,"2,124,200-2,580,000",نحوه احتراق,مازوت,دمپر هوا,224-272,جریان الکتریکی,دو مرحله ای,قدرت موتور KW,اتوماتیک,پیش گرم کننده مازوت KW,380-3-50,نوع رله,7.5,قطر شعله پوش mm,9,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM6-PHT-418,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/620/1.jpg,<ol><li>حداکثر قدرت گرمایش: 2.124.200 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: دو مرحله ای</li><li>قدرت موتور: 5500 W</li><li>پیش گرم کننده مازوت: 7500 W</li></ol>,مدل دستگاه,PM6-PHT-418,قدرت گرمایش (KW),"970-1,849",مصرف سوخت kg/hr,"1,591,000-2,124,200",نحوه احتراق,مازوت,دمپر هوا,167-224,جریان الکتریکی,دو مرحله ای,قدرت موتور KW,اتوماتیک,پیش گرم کننده مازوت KW,380-3-50,نوع رله,5.5,قطر شعله پوش mm,7.5,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مشعل مازوت سوز پارس مشعل PM5-PHT-218,,مشعل > پارس مشعل,https://damava.ir/wp-content/uploads/2022/garmayesh/621/1.jpg,<ol><li>حداکثر قدرت گرمایش: 1.118.000 Kcal/hr</li><li>سوخت مصرفی: مازوت</li><li>نحوه احتراق: دو مرحله ای</li><li>قدرت موتور: 2200 W</li><li>پیش گرم کننده مازوت: 6000 W</li></ol>,مدل دستگاه,PM5-PHT-218,قدرت گرمایش (KW),285-726,مصرف سوخت kg/hr,"387,000-1,118,000",نحوه احتراق,مازوت,دمپر هوا,40-117,جریان الکتریکی,دو مرحله ای,قدرت موتور KW,اتوماتیک,پیش گرم کننده مازوت KW,380-3-50,نوع رله,2.2,قطر شعله پوش mm,6,گارانتی,1 سال گارانتی پارس مشعل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
