title,price,category,images,short desc,attribute 1,value 1,attribute 2,value 2,attribute 3,value 3,attribute 4,value 4,attribute 5,value 5,attribute 6,value 6,attribute 7,value 7,attribute 8,value 8,attribute 9,value 9,attribute 10,value 10,attribute 11,value 11,attribute 12,value 12,attribute 13,value 13,attribute 14,value 14,attribute 15,value 15,attribute 16,value 16,attribute 17,value 17,attribute 18,value 18,attribute 19,value 19,attribute 20,value 20,attribute 21,value 21,attribute 22,value 22,attribute 23,value 23,attribute 24,value 24,attribute 25,value 25,attribute 26,value 26
دیگ فولادی آبگرم آذران صنعت امرتات (کالور) C65,15698000,دیگ آبگرم فولادی > دیگ فولادی آبگرم آذران صنعت (کالور),"https://damava.ir/wp-content/uploads/2022/garmayesh/35/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/35/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/35/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/35/4.jpg",<ol><li>حداکثر فشار کاری : 6 bar</li><li> نوع سوخت : سه گانه سوز (گاز- گازوئیل- مازوت)</li><li> ابعاد دیگ : 970*655*970 mm</li><li> دارای تکنولوژی شعله برگشتی</li><li>ظرفیت حرارتی:65000kcal/hr</li></ol>,مدل دستگاه,C65,فشار کار (bar),6,حد اکثر قدرت گرمایش (kcal/hr),65,حد اکثر قدرت گرمایش  (KW),104,ابعاد (mm) (طول دیگ بدون مشعل),970,ابعاد (mm) (عرض دیگ),655,ابعاد (mm) (ارتفاع دیگ با پانل کنترلی),970,وزن (kg),186,سایز ورودی و خروجی اصلی دیگ(inch), 1/4 1,قطر دهانه ورودی مشعلگیر(mm),92,قطر دهانه خروجی دودکش (mm),200,سایز تخلیه دیگ (inch),1/2 ,ارتفاع مرکز مشعلگیر (mm),340,ارتفاع مرکز دودوکش (mm),440,بازدهی حرارت (%),88,نوع سوخت مصرفی,گاز- گازوئیل-مازوت,کشور سازنده,ایران,گارانتی,3 سال ضمانت آذران صنعت امرتات,,,,,,,,,,,,,,,,
دیگ فولادی آبگرم آذران صنعت امرتات (کالور) C80,17672000,دیگ آبگرم فولادی > دیگ فولادی آبگرم آذران صنعت (کالور),"https://damava.ir/wp-content/uploads/2022/garmayesh/36/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/36/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/36/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/36/4.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/36/5.jpg",<ol><li>حداکثر فشار کاری : 6 bar</li><li> نوع سوخت : سه گانه سوز (گاز- گازوئیل- مازوت)</li><li> ابعاد دیگ : 1010*765*1070 mm</li><li> دارای تکنولوژی شعله برگشتی</li><li>ظرفیت حرارتی:80000kcal/hr</li></ol>,مدل دستگاه,C80,فشار کار (bar),6,حد اکثر قدرت گرمایش (kcal/hr),80,حد اکثر قدرت گرمایش  (KW),128,ابعاد (mm) (طول دیگ بدون مشعل),1010,ابعاد (mm) (عرض دیگ),765,ابعاد (mm) (ارتفاع دیگ با پانل کنترلی),1070,وزن (kg),227,سایز ورودی و خروجی اصلی دیگ(inch),1/2 1,قطر دهانه ورودی مشعلگیر(mm),99,قطر دهانه خروجی دودکش (mm),200,سایز تخلیه دیگ (inch),1/2 ,ارتفاع مرکز مشعلگیر (mm),410,ارتفاع مرکز دودوکش (mm),495,بازدهی حرارت (%),88,نوع سوخت مصرفی,گاز- گازوئیل- مازوت,کشور سازنده,ایران,گارانتی,3 سال ضمانت آذران صنعت امرتات,,,,,,,,,,,,,,,,
دیگ چدنی لوله وماشین سازی ایران(MI3)مدلS90-4,10602000,دیگ شوفاژ چدنی > دیگ چدنی MI3 شرکت لوله و ماشین سازی ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/37/1.jpg,<ol><li>ابعاد دیگ : 528*400*848 mm</li><li> تعداد پره: 4</li><li> فشار کاری : 4 bar</li><li> نوع سوخت : گاز طبیعی - گازوییل</li><li>قدرت گرمادهی:40000kcal/hr</li></ol>,مدل دستگاه, S90-4,تعداد پره,4,ظرفیت ورودی (kcal/hr),"44,400",حد اکثر قدرت گرمایش  (KW),51.6,ظرفیت خروجی  (kcal/hr),"40,000",ظرفیت خروجی  (KW),46.5,حجم آب گیری دیگ (lit),17,حجم محفظه احتراق (lit),28.21,افت فشار در محفظه احتراق (m bar),0.2,افت فشار آب  (( Δt=10˚ (m bar  ),4.2,افت فشار آب  (( Δt=20˚ (m bar  ),1,ابعاد دیگ (mm) (طول),528,ابعاد دیگ (mm) (عرض),400,ارتفاع,848,وزن دیگ (kg),179,حداکثر دمای کاری مجاز (Cº),-,حداکثر فشار کاری مجاز (bar),4,قطر دهانه مشعلگیر(mm),105,قطر دهانه دودکش دیگ (mm),180,نوع سوخت مصرفی,گاز طبیعی - گازوییل,کشور سازنده,ایران,گارانتی,5 سال گارانتی,,,,,,,,
دیگ چدنی لوله وماشین سازی ایران(MI3)مدلS90-5,11876000,دیگ شوفاژ چدنی > دیگ چدنی MI3 شرکت لوله و ماشین سازی ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/38/1.jpg,<ol><li>تعداد پره: 5</li><li> فشار کاری : 4 bar</li><li> نوع سوخت : گاز طبیعی - گازوییل</li><li>ظرفیت حرارتی:55500kcal/hr</li></ol>,مدل دستگاه, S90-5,تعداد پره,5,ظرفیت ورودی (kcal/hr),"55,500",ظرفیت ورودی(KW),64.5,ظرفیت خروجی  (kcal/hr),"50,000",ظرفیت خروجی(KW),58.1,حجم آب گیری دیگ (lit),20,حجم محفظه احتراق (lit),36.27,افت فشار آب( Δt=10˚ (m bar,7.2,افت فشار آب( Δt=20˚ (m bar,1.6,افت فشار در محفظه احتراق (m bar),0.2,ابعاد دیگ (mm) (طول),628,ابعاد دیگ (mm) (عرض),400,ارتفاع,848,وزن دیگ (kg),211,حداکثر دمای کاری مجاز (Cº),-,حداکثر فشار کاری مجاز (bar),4,قطر دهانه مشعلگیر(mm),105,قطر دهانه دودکش دیگ (mm),180,نوع سوخت مصرفی,گاز طبیعی - گازوییل,کشور سازنده,ایران,گارانتی,5 سال گارانتی,,,,,,,,
دیگ چدنی لوله وماشین سازی ایران(MI3)مدلS90-6,13147000,دیگ شوفاژ چدنی > دیگ چدنی MI3 شرکت لوله و ماشین سازی ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/39/1.jpg,<ol><li>ابعاد دیگ : 728*400*848 mm</li><li> تعداد پره: 6</li><li> فشار کاری : 4 bar</li><li> نوع سوخت : گاز طبیعی - گازوییل</li><li>قدرت گرمادهی:60000kcal/hr</li></ol>,مدل دستگاه, S90-6,تعداد پره,6,ظرفیت ورودی (kcal/hr),"66,600",ظرفیت ورودی(KW),77.5,ظرفیت خروجی (kcal/hr),"60,000",ظرفیت خروجی(KW),69.8,حجم آب گیری دیگ (lit),23,حجم محفظه احتراق (lit),52.39,افت فشار آب( Δt=10˚ (m bar,11,افت فشار آب( Δt=20˚ (m bar,2.3,افت فشار در محفظه احتراق (m bar),0.2,ابعاد دیگ (mm) (طول),728,ابعاد دیگ (mm) (عرض),400,ابعاد دیگ (mm) (ارتفاع),848,وزن دیگ (kg),243,حداکثر دمای کاری مجاز (Cº),-,حداکثر فشار کاری مجاز (bar),4,قطر دهانه مشعلگیر(mm),105,قطر دهانه دودکش دیگ (mm),180,نوع سوخت مصرفی,گاز طبیعی - گازوییل,کشور سازنده,ایران,گارانتی,5 سال گارانتی,,,,,,,,
دیگ چدنی لوله وماشین سازی ایران(MI3)مدلS90-8,15689000,دیگ شوفاژ چدنی > دیگ چدنی MI3 شرکت لوله و ماشین سازی ایران,https://damava.ir/wp-content/uploads/2022/garmayesh/40/1.jpg,<ol><li>ابعاد دیگ : 928*400*848 mm</li><li> تعداد پره: 8</li><li> فشار کاری : 4 bar</li><li> نوع سوخت : گاز طبیعی - گازوییل</li><li>قدرت گرمادهی:80000kcal/hr</li></ol>,مدل دستگاه, S90-8,تعداد پره,8,ظرفیت ورودی (kcal/hr),"88,800",ظرفیت ورودی(KW),103.3,ظرفیت خروجی (kcal/hr),"80,000",ظرفیت خروجی(KW),83,حجم آب گیری دیگ (lit),29,حجم محفظه احتراق (lit),68.51,افت فشار آب( Δt=10˚ (m bar,20,افت فشار آب( Δt=20˚ (m bar,4.5,افت فشار در محفظه احتراق (m bar),0.2,ابعاد دیگ (mm) (طول),928,ابعاد دیگ (mm) (عرض),400,ابعاد دیگ (mm) (ارتفاع),848,وزن دیگ (kg),307,حداکثر دمای کاری مجاز (Cº),-,حداکثر فشار کاری مجاز (bar),4,قطر دهانه مشعلگیر(mm),105,قطر دهانه دودکش دیگ (mm),180,نوع سوخت مصرفی,گاز طبیعی - گازوییل,کشور سازنده,ایران,گارانتی,5 سال گارانتی,,,,,,,,
دیگ فولادی آبگرم آذران صنعت امرتات (کالور) C120,22816000,دیگ آبگرم فولادی > دیگ فولادی آبگرم آذران صنعت (کالور),"https://damava.ir/wp-content/uploads/2022/garmayesh/41/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/41/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/41/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/41/4.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/41/5.jpg",<ol><li>حداکثر فشار کاری : 6 bar</li><li> نوع سوخت : سه گانه سوز (گاز- گازوئیل- مازوت)</li><li> ابعاد دیگ : 1280*655*1130 mm</li><li> دارای تکنولوژی شعله برگشتی</li><li>ظرفیت حرارتی:120000kcal/hr</li></ol>,مدل دستگاه,C120,فشار کار (bar),6,حداکثر قدرت گرمایش (kcal/hr),120,حداکثر قدرت گرمایش(KW),192,ابعاد (mm) (طول دیگ بدون مشعل),1280,ابعاد (mm) (عرض دیگ),790,ابعاد (mm) (ارتفاع دیگ با پانل کنترلی),1130,وزن (kg),275,سایز ورودی و خروجی اصلی دیگ(inch),2,قطر دهانه ورودی مشعلگیر(mm),122,قطر دهانه خروجی دودکش (mm),250,سایز تخلیه دیگ (inch),1/2 ,ارتفاع مرکز مشعلگیر (mm),420,ارتفاع مرکز دودکش (mm),510,بازدهی حرارت (%),88,نوع سوخت مصرفی,گاز- گازوئیل-مازوت,کشور سازنده,ایران,گارانتی,3 سال ضمانت آذران صنعت امرتات,,,,,,,,,,,,,,,,
دیگ فولادی آبگرم آذران صنعت امرتات (کالور) C160,28520000,دیگ آبگرم فولادی > دیگ فولادی آبگرم آذران صنعت (کالور),"https://damava.ir/wp-content/uploads/2022/garmayesh/43/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/43/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/43/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/43/4.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/43/5.jpg",<ol><li>حداکثر فشار کاری : 6 bar</li><li> نوع سوخت : سه گانه سوز (گاز- گازوئیل- مازوت)</li><li> ابعاد دیگ : 1430*815*1170 mm</li><li> دارای تکنولوژی شعله برگشتی</li><li>ظرفیت حرارتی:160000kcal/hr</li></ol>,مدل دستگاه,C160,فشار کار (bar),6,حد اکثر قدرت گرمایش (kcal/hr),160,حد اکثر قدرت گرمایش(KW),256,ابعاد (mm) (طول دیگ بدون مشعل),1430,ابعاد (mm) (عرض دیگ),815,ابعاد (mm) (ارتفاع دیگ با پانل کنترلی),1170,وزن (kg),384,سایز ورودی و خروجی اصلی دیگ(inch),2,قطر دهانه ورودی مشعلگیر(mm),122,قطر دهانه خروجی دودکش (mm),300,سایز تخلیه دیگ (inch),1/2 ,ارتفاع مرکز مشعلگیر (mm),440,ارتفاع مرکز دودوکش (mm),550,بازدهی حرارت (%),88,نوع سوخت مصرفی,گاز- گازوئیل- مازوت,کشور سازنده,ایران,گارانتی,3 سال ضمانت آذران صنعت امرتات,,,,,,,,,,,,,,,,
دیگ فولادی آبگرم آذران صنعت امرتات (کالور) c200,31464000,دیگ آبگرم فولادی > دیگ فولادی آبگرم آذران صنعت (کالور),"https://damava.ir/wp-content/uploads/2022/garmayesh/45/1.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/45/2.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/45/3.jpg,https://damava.ir/wp-content/uploads/2022/garmayesh/45/4.jpg",<ol><li>حداکثر فشار کاری : 6 bar</li><li> نوع سوخت : سه گانه سوز (گاز- گازوئیل- مازوت)</li><li> ابعاد دیگ : 1680*815*1170 mm</li><li> دارای تکنولوژی شعله برگشتی</li><li>ظرفیت حرارتی:200000kcal/hr</li></ol>,مدل دستگاه,C200,فشار کار (bar),6,حد اکثر قدرت گرمایش (kcal/hr),200,حد اکثر قدرت گرمایش(KW),320,ابعاد (mm) (طول دیگ بدون مشعل),1680,ابعاد (mm) (عرض دیگ),815,ابعاد (mm) (ارتفاع دیگ با پانل کنترلی),1170,وزن (kg),453,سایز ورودی و خروجی اصلی دیگ(inch), 1/2 2,قطر دهانه ورودی مشعلگیر(mm),132,قطر دهانه خروجی دودکش (mm),300,سایز تخلیه دیگ (inch),1/2 ,ارتفاع مرکز مشعلگیر (mm),440,ارتفاع مرکز دودوکش (mm),550,بازدهی حرارت (%),88,نوع سوخت مصرفی,گاز- گازوئیل-مازوت,کشور سازنده,ایران,گارانتی,3 سال ضمانت آذران صنعت امرتات,,,,,,,,,,,,,,,,
دیگ چدنی شوفاژکار مدل استار 7-1300,81983000,دیگ شوفاژ چدنی > دیگ شوفاژ چدنی شوفاژکار,https://damava.ir/wp-content/uploads/2022/garmayesh/51/1.jpg,<ol><li>ابعاد دیگ (طول ، عرض ، ارتفاع) : 1630*900*1200 mm</li><li> تعداد پره: 7</li><li> فشار کاری : 10 bar</li><li> جلوگیری از اتلاف انرژی با ایزولاسیون کامل روپوش</li></ol>,مدل دستگاه,star 1300-7,تعداد پره,7,قدرت گرمادهی (kcal/hr),"494,000",ابعاد دیگ (mm) (طول ),1630,ابعاد دیگ (mm)  عرض ,900,ابعاد دیگ (mm) (ارتفاع ),1200,وزن دیگ (kg),1495,حداکثر فشار کاری مجاز (bar),10,حداکثر دما کاری مجاز (Cº),105,گارانتی,10 سال گارانتی شوفاژکار,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
